start,end,poi,ground,label_anon
2021-02-25 12:25:17,2021-02-25 12:26:02,4240,soft soil,label_7
2021-02-25 12:30:45,2021-02-25 12:31:04,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:32:16,2021-02-25 12:34:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:38:37,2021-02-25 12:38:44,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 12:39:20,2021-02-25 12:40:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:40:37,2021-02-25 12:40:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 12:41:14,2021-02-25 12:41:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:42:54,2021-02-25 12:43:23,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:43:57,2021-02-25 12:45:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:44:42,2021-02-25 12:58:50,"4220, 4230, 4240",asphalt,label_8
2021-02-25 12:45:54,2021-02-25 12:46:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:46:22,2021-02-25 12:46:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:46:38,2021-02-25 12:47:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:48:09,2021-02-25 12:50:45,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:47:22,2021-02-25 12:47:40,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:47:40,2021-02-25 12:51:14,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:51:14,2021-02-25 12:51:34,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:51:34,2021-02-25 12:52:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:52:50,2021-02-25 12:53:04,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:53:04,2021-02-25 12:53:45,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:53:45,2021-02-25 12:56:03,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:56:03,2021-02-25 12:56:27,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:56:27,2021-02-25 12:56:39,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:56:39,2021-02-25 12:58:12,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:58:12,2021-02-25 12:58:20,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:59:25,2021-02-25 12:59:33,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:59:43,2021-02-25 12:59:56,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 13:02:27,2021-02-25 13:02:50,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:02:33,2021-02-25 13:11:33,"4210, 4220",asphalt,label_9
2021-02-25 13:02:50,2021-02-25 13:03:00,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:03:00,2021-02-25 13:03:14,"4210, 4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 13:03:14,2021-02-25 13:03:52,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:03:10,2021-02-25 13:03:20,4240,soft soil,label_10
2021-02-25 13:03:26,2021-02-25 13:03:33,4240,soft soil,label_10
2021-02-25 13:03:41,2021-02-25 13:03:46,4240,soft soil,label_10
2021-02-25 13:03:55,2021-02-25 13:04:13,4240,soft soil,label_10
2021-02-25 13:04:23,2021-02-25 13:04:34,4240,soft soil,label_10
2021-02-25 13:03:52,2021-02-25 13:07:23,4240,soft soil,label_4
2021-02-25 13:07:23,2021-02-25 13:07:36,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:07:36,2021-02-25 13:09:55,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:04:42,2021-02-25 13:04:50,4240,soft soil,label_10
2021-02-25 13:04:55,2021-02-25 13:05:00,4240,soft soil,label_10
2021-02-25 13:05:05,2021-02-25 13:05:11,4240,soft soil,label_10
2021-02-25 13:05:20,2021-02-25 13:05:46,4240,soft soil,label_10
2021-02-25 13:05:55,2021-02-25 13:06:06,4240,soft soil,label_10
2021-02-25 13:06:12,2021-02-25 13:06:17,4240,soft soil,label_10
2021-02-25 13:06:22,2021-02-25 13:06:39,4240,soft soil,label_10
2021-02-25 13:06:44,2021-02-25 13:07:00,4240,soft soil,label_10
2021-02-25 13:08:40,2021-02-25 13:10:10,4240,soft soil,label_10
2021-02-25 13:07:12,2021-02-25 13:07:45,4240,soft soil,label_10
2021-02-25 13:09:55,2021-02-25 13:10:54,"4210, 4220, 4230, 4240, 4250 ,4260",soft soil,label_4
2021-02-25 13:10:54,2021-02-25 13:11:11,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:11:11,2021-02-25 13:11:56,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:11:56,2021-02-25 13:12:13,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:11:56,2021-02-25 13:13:39,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:13:39,2021-02-25 13:16:36,"4230, 4240, 4250",asphalt,label_2
2021-02-25 13:10:36,2021-02-25 13:10:55,4240,soft soil,label_10
2021-02-25 13:12:00,2021-02-25 13:32:00,4240,asphalt,label_9
2021-02-25 13:16:36,2021-02-25 13:16:56,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:16:56,2021-02-25 13:18:30,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:18:30,2021-02-25 13:18:52,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:18:52,2021-02-25 13:23:50,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:23:50,2021-02-25 13:24:13,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 13:24:13,2021-02-25 13:24:23,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 13:24:23,2021-02-25 13:24:36,"4210, 4220, 4230, 4240, 4250 ,4260",asphalt,label_4
